target,model,rmse,mae,best_params
Average delay of late trains at departure,RandomForestRegressor,6.336400088650437,4.841259186902402,"{'regressor__max_depth': 10, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 300}"
Average delay of all trains at departure,RandomForestRegressor,1.603847475790038,1.204459796984935,"{'regressor__max_depth': 30, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 300}"
Average delay of late trains at arrival,RandomForestRegressor,13.781954603522943,9.774032059723163,"{'regressor__max_depth': 30, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 300}"
Average delay of all trains at arrival,RandomForestRegressor,3.173132559843147,2.3909189092211887,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 100}"
Average delay of late trains at departure,GradientBoostingRegressor,6.313862613980862,4.822338470164669,"{'regressor__learning_rate': 0.05, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 20}"
Average delay of all trains at departure,GradientBoostingRegressor,1.6287788255804123,1.2310432536142213,"{'regressor__learning_rate': 0.1, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 20}"
Average delay of late trains at arrival,GradientBoostingRegressor,14.035689210335391,10.08904596244274,"{'regressor__learning_rate': 0.1, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 20}"
Average delay of all trains at arrival,GradientBoostingRegressor,3.163853898654616,2.400025902880093,"{'regressor__learning_rate': 0.1, 'regressor__max_depth': 5, 'regressor__min_samples_leaf': 20}"
Average delay of late trains at departure,DecisionTreeRegressor,6.398103772535123,4.919391970031837,"{'regressor__max_depth': 5, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 10}"
Average delay of all trains at departure,DecisionTreeRegressor,1.6586066197736473,1.2435050347055077,"{'regressor__max_depth': 20, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 2}"
Average delay of late trains at arrival,DecisionTreeRegressor,14.135475811113015,10.111324476046518,"{'regressor__max_depth': 20, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 10}"
Average delay of all trains at arrival,DecisionTreeRegressor,3.3455174516000836,2.5268259919612874,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 10}"
Average delay of late trains at departure,HistGradientBoostingRegressor,6.311489991201007,4.818269446248374,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 5, 'regressor__max_iter': 100, 'regressor__min_samples_leaf': 20}"
Average delay of all trains at departure,HistGradientBoostingRegressor,1.6298000867507805,1.2322394289398078,"{'regressor__l2_regularization': 0.0, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 5, 'regressor__max_iter': 200, 'regressor__min_samples_leaf': 20}"
Average delay of late trains at arrival,HistGradientBoostingRegressor,14.039099003732671,10.108258462747967,"{'regressor__l2_regularization': 0.1, 'regressor__learning_rate': 0.01, 'regressor__max_depth': 5, 'regressor__max_iter': 500, 'regressor__min_samples_leaf': 20}"
Average delay of all trains at arrival,HistGradientBoostingRegressor,3.1622113715889975,2.400067995050905,"{'regressor__l2_regularization': 0.1, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 5, 'regressor__max_iter': 100, 'regressor__min_samples_leaf': 20}"
