Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Cancellation comments,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Departure delay comments,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Arrival delay comments,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Month
2018-01,National,LA ROCHELLE VILLE,PARIS MONTPARNASSE,165.0,222,0,,8,2.8666666666666667,0.08333333333333333,,34,21.516666666666666,5.683333333333334,,22,5.683333333333334,5,0,15.38,30.77,38.46,11.54,3.85,0.0,January
2018-01,National,PARIS MONTPARNASSE,QUIMPER,220.0,248,1,,37,9.5,0.0,,0,55.68333333333333,7.566666666666666,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",26,7.533333333333333,17,7,,,,,,,January
2018-01,National,PARIS MONTPARNASSE,ST MALO,156.0,102,0,,12,19.9,1.9666666666666668,,13,48.61666666666667,6.783333333333333,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",8,6.716666666666667,6,4,,,,,,,January
2018-01,National,PARIS MONTPARNASSE,ST PIERRE DES CORPS,61.0,391,2,,61,0.0,0.8833333333333333,,71,12.4,3.3333333333333335,,17,3.3333333333333335,6,0,21.21,42.42,9.09,21.21,6.06,0.0,January
2018-01,National,QUIMPER,PARIS MONTPARNASSE,223.0,256,1,,0,16.316666666666666,0.5666666666666667,,21,39.083333333333336,5.933333333333334,,21,5.916666666666667,9,0,,,,,,,January
2018-01,National,TOURS,PARIS MONTPARNASSE,75.0,194,0,,0,5.716666666666667,0.31666666666666665,,35,11.116666666666667,2.9166666666666665,,0,2.9166666666666665,1,0,25.0,56.25,6.25,12.5,0.0,0.0,January
2018-01,National,NANTES,STRASBOURG,303.0,39,0,,22,2.8333333333333335,1.65,,5,32.983333333333334,5.733333333333333,,0,5.733333333333333,0,1,,,,,,,January
2018-01,National,LILLE,LYON PART DIEU,190.0,292,8,,122,10.033333333333333,4.366666666666666,,36,56.15,7.566666666666666,,31,346.46666666666664,22,13,40.0,30.0,5.0,20.0,5.0,0.0,January
2018-01,National,BORDEAUX ST JEAN,TOURCOING,301.0,31,0,,13,0.0,1.1666666666666667,,3,43.31666666666667,58.46666666666667,"7660 du 7 +42: Dérangemetn d'insta MPW
7660 du 26 +68: Soin matériel roulant",3,6.533333333333333,0,0,,,,,,,January
2018-01,National,RENNES,PARIS VAUGIRARD,111.0,31,0,,0,2.85,0.6333333333333333,,2,24.316666666666666,3.15,,2,0.0,0,0,,,,,,,January
